"source_sheet","source_row","phase","stakeholder","timeline","workstream_task"
"Stakeholders by Phase","101","6. Event Day","Team / Volunteers","From T–90 min","Deployed across registration, ushering, Q&A, catering flow, and contingency roles; rotated every 2 hours"
"Stakeholders by Phase","102","7. Post-Event Closure","Speakers","Within 24 hours","Personal thank you email or handwritten note"
"Stakeholders by Phase","103","7. Post-Event Closure","VIPs / Major Sponsors / Donors","Within 24 hours","Personal thank you"
"Stakeholders by Phase","104","7. Post-Event Closure","All Attendees","Within 48 hours","Thank you email; post-event survey if planned (max 7 questions; only if data will be acted on)"
"Stakeholders by Phase","105","7. Post-Event Closure","Volunteers / Staff / Campus Services","Within 48 hours","Thank you communications; copy line managers for exceptional contributions"
"Stakeholders by Phase","106","7. Post-Event Closure","Social Media Team","Within 48 hours","Follow-up posts; photo highlights published with"
"Stakeholders by Phase","107","","","","#WhyILoveLBS"
"Stakeholders by Phase","108","7. Post-Event Closure","Photography Team","Within 1–2 weeks","Edited photos and videos delivered; stored securely; used only for stated purposes"
"Stakeholders by Phase","109","7. Post-Event Closure","Editorial / Content Team","Within 2 weeks","Post-event content published (article, video, blog post); content link added to board subitem"
"Stakeholders by Phase","110","7. Post-Event Closure","SA Treasury","Within 2 weeks","Expense claims submitted via Infor XM with itemised receipts"
"Stakeholders by Phase","111","7. Post-Event Closure","SA Treasury","Within 1 month","Budget reconciliation completed; final budget report produced"
"Stakeholders by Phase","112","7. Post-Event Closure","Editorial Planning Team","Within 1 month","LBS Event Reporting Form completed and submitted"
"Stakeholders by Phase","113","7. Post-Event Closure","Club ExCo / Successor","Before end of term","Handover package: stakeholder map, supplier evaluations, speaker database, sponsor history, marketing performance, lessons learned"
"Stakeholders by Phase","114","7. Post-Event Closure","Student Club / Editorial","Within 1–2 weeks","Make LinkedIn posts; also encourages the speakers to post/repo"
